03-04, CLE, 79, 79, 39.5, 0.417, 0.290, 0.754, 1.3, 4.2, 5.5, 5.9, 1.6, 0.7, 3.46, 1.89, 20.9, 
04-05, CLE, 80, 80, 42.4, 0.472, 0.351, 0.750, 1.4, 6.0, 7.4, 7.2, 2.2, 0.6, 3.28, 1.82, 27.2, 
05-06, CLE, 79, 79, 42.5, 0.480, 0.335, 0.738, 0.9, 6.1, 7.0, 6.6, 1.6, 0.8, 3.29, 2.29, 31.4, 
06-07, CLE, 78, 78, 40.9, 0.476, 0.319, 0.698, 1.1, 5.7, 6.7, 6.0, 1.6, 0.7, 3.21, 2.19, 27.3, 
07-08, CLE, 75, 74, 40.4, 0.484, 0.315, 0.712, 1.8, 6.1, 7.9, 7.2, 1.8, 1.1, 3.40, 2.20, 30.0, 
08-09, CLE, 81, 81, 37.7, 0.489, 0.344, 0.780, 1.3, 6.3, 7.6, 7.2, 1.7, 1.2, 2.98, 1.72, 28.4, 
09-10, CLE, 76, 76, 39.0, 0.503, 0.333, 0.767, 0.9, 6.4, 7.3, 8.6, 1.6, 1.0, 3.43, 1.57, 29.7, 
10-11, MIA, 79, 79, 38.8, 0.510, 0.330, 0.759, 1.0, 6.5, 7.5, 7.0, 1.6, 0.6, 3.59, 2.06, 26.7, 
11-12, MIA, 62, 62, 37.5, 0.531, 0.362, 0.771, 1.5, 6.4, 7.9, 6.2, 1.8, 0.8, 3.44, 1.55, 27.1, 
